,S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),WIND DIR (Deg),WIND SPEED (Kt),SLP (hPa),MSLP (hPa/gpm),SUNSHINE (HH.MM),BATTERY (Volts),GPS
23,24,BELGAUM,KANABARGI,2018-09-22,00:00:00,0,0,20.6,20.5,20.9,,92.0,260,6,924.6,1009.3,0.0,11.6,L
24,25,BELGAUM,KANABARGI,2018-09-22,01:00:00,0,0,20.6,20.5,20.6,,95.0,242,4,925.1,1009.8,0.0,11.6,L
25,26,BELGAUM,KANABARGI,2018-09-22,02:00:00,0,0,20.8,20.5,20.9,,92.0,253,4,925.8,1010.5,0.0,11.6,L
26,27,BELGAUM,KANABARGI,2018-09-22,03:00:00,0,0,21.4,20.8,21.4,20.5,88.0,258,4,926.5,1011.1,0.0,11.7,L
27,28,BELGAUM,KANABARGI,2018-09-22,04:00:00,0,0,22.1,21.3,22.1,,86.0,229,3,927.0,1011.4,0.31,11.7,L
28,29,BELGAUM,KANABARGI,2018-09-22,05:00:00,0,0,21.5,21.5,22.5,,91.0,222,5,927.3,1011.9,1.03,11.7,L
29,30,BELGAUM,KANABARGI,2018-09-22,06:00:00,0,0,23.0,21.0,23.1,,79.0,255,5,927.0,1011.2,1.48,11.6,L
30,31,BELGAUM,KANABARGI,2018-09-22,07:00:00,0,0,23.4,23.0,23.9,,78.0,238,6,926.5,1010.5,2.48,11.7,L
31,32,BELGAUM,KANABARGI,2018-09-22,08:00:00,0,0,24.1,22.8,24.1,,75.0,258,7,925.7,1009.4,3.48,11.7,L
32,33,BELGAUM,KANABARGI,2018-09-22,09:00:00,0,0,24.6,23.8,25.0,,73.0,238,3,924.9,1008.4,4.48,11.7,L
33,34,BELGAUM,KANABARGI,2018-09-22,10:00:00,0,0,25.6,24.8,26.0,,69.0,260,6,924.5,1007.7,5.48,11.7,L
34,35,BELGAUM,KANABARGI,2018-09-22,12:00:00,0,0,24.1,24.0,25.2,,72.0,229,4,925.0,1008.7,7.19,11.7,L
35,36,BELGAUM,KANABARGI,2018-09-22,13:00:00,0,0,23.0,22.8,24.1,,78.0,257,3,925.7,1009.8,7.19,11.6,L
36,37,BELGAUM,KANABARGI,2018-09-22,14:00:00,0,0,21.9,21.8,22.9,,87.0,277,5,926.5,1011.0,7.19,11.6,L
37,38,BELGAUM,KANABARGI,2018-09-22,15:00:00,0,0,21.0,21.0,21.8,,91.0,240,3,927.0,1011.8,7.19,11.7,L
38,39,BELGAUM,KANABARGI,2018-09-22,16:00:00,0,0,20.5,20.4,20.9,,91.0,267,3,927.7,1012.7,7.19,11.6,L
39,40,BELGAUM,KANABARGI,2018-09-22,17:00:00,0,0,19.7,19.6,20.5,,95.0,231,1,928.1,1013.4,7.19,11.6,L
40,41,BELGAUM,KANABARGI,2018-09-22,18:00:00,0,0,19.1,19.1,19.7,,96.0,280,2,928.0,1013.4,7.19,11.6,L
